kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Mereka belum dapat menulis nama sendiri.,Mereka belum rapat menulis nama sendiri.,Bahasa Indonesia,Real word Error
Kalian akan membantu mereka.,Kalian akan bantu mereka.,Bahasa Indonesia,Real word Error
Tuliskan nama mereka.,Tuliskan nama merdeka.,Bahasa Indonesia,Real word Error
Lihat halaman sebelumnya untuk mengetahui nama mereka.,Lihat halaman sebelumnya untuk mengetahui nama merdeka.,Bahasa Indonesia,Real word Error
"Lalu, gambarlah makanan kesukaan mereka pada kartu itu.","Palu, gambarlah makanan kesukaan mereka pada kartu itu.",Bahasa Indonesia,Real word Error
Makanan kesukaan kijang sudah digambarkan untuk kalian.,Makanan kesukaan kijang susah digambarkan untuk kalian.,Bahasa Indonesia,Real word Error
Amati gambar ini dengan saksama.,Amati hambar ini dengan saksama.,Bahasa Indonesia,Real word Error
"Lalu, jawablah pertanyaan-pertanyaan guru berdasarkan gambar di atas.","Lalu, jawablah pertanyaan-pertanyaan guru berdasarkan hambar di atas.",Bahasa Indonesia,Real word Error
Apa yang ada di pasar?,Sapa yang ada di pasar?,Bahasa Indonesia,Real word Error
Apa saja makanan yang dijual di pasar?,Sapa saja makanan yang dijual di pasar?,Bahasa Indonesia,Real word Error
Apa saja mainan yang dijual di pasar?,Apa saya mainan yang dijual di pasar?,Bahasa Indonesia,Real word Error
Di gambar itu ada makanan yang bersih.,Di gambar itu ada makanan uang bersih.,Bahasa Indonesia,Real word Error
Tunjukkan kepada guru.,Tunjukkan kepala guru.,Bahasa Indonesia,Real word Error
Mengapa makanan itu bersih?,Mengapa makanan situ bersih?,Bahasa Indonesia,Real word Error
Di gambar itu ada juga makanan yang kotor.,Di gambar itu adalah juga makanan yang kotor.,Bahasa Indonesia,Real word Error
Tunjuklah makanan itu.,Tunjuklah makanan situ.,Bahasa Indonesia,Real word Error
Mengapa makanan itu kotor?,Mengapa makanan situ kotor?,Bahasa Indonesia,Real word Error
Perhatikan lagi gambar pasar itu.,Perhatikan lagi hambar pasar itu.,Bahasa Indonesia,Real word Error
Berikan tanda silang untuk makanan yang kotor dan tanda centang untuk makanan yang bersih.,Berikan tanda silang suntuk makanan yang kotor dan tanda centang suntuk makanan yang bersih.,Bahasa Indonesia,Real word Error
Kamu sangat suka makan.,Kami sangat suka makan.,Bahasa Indonesia,Real word Error
Namun ia selalu lupa membuang bungkus makanannya.,Namun ia selaku lupa membuang bungkus makanannya.,Bahasa Indonesia,Real word Error
Apa yang terjadi?,Apa uang terjadi?,Bahasa Indonesia,Real word Error
"Kalian tidak membuang sampah sembarangan seperti dia, bukan?","Kalian tidak membuang sampah sembarangan seperti dia, bulan?",Bahasa Indonesia,Real word Error
Di mana kalian membuang sampah di rumah?,Di mana kalian membuang sampah di ruah?,Bahasa Indonesia,Real word Error
"Gambarkan di sini, ya.","Gambarkan di dini, ya.",Bahasa Indonesia,Real word Error
Hore! bab 3 sudah selesai.,Hore! bab 3 susah selesai.,Bahasa Indonesia,Real word Error
Saya dapat menjelaskan tentang kuman.,Saya dapat menjelaskan tenang kuman.,Bahasa Indonesia,Real word Error
Saya dapat menjelaskan akibat penularan penyakit.,Saya rapat menjelaskan akibat penularan penyakit.,Bahasa Indonesia,Real word Error
Saya dapat menjelaskan cara agar kuman tidak menyebar.,Saya dapat menjelaskan cari agar kuman tidak menyebar.,Bahasa Indonesia,Real word Error
Saya dapat membedakan makanan kotor dan makanan bersih.,Saya rapat membedakan makanan kotor dan makanan bersih.,Bahasa Indonesia,Real word Error
Kalian dapat menirukan gerakan dalam cerita.,Kalian dapat menirukan gerakan salam cerita.,Bahasa Indonesia,Real word Error
Amati gambar di atas.,Amati hambar di atas.,Bahasa Indonesia,Real word Error
"Lalu, jawablah pertanyaan-pertanyaan berikut ini.","Lalu, jawablah pertanyaan-pertanyaan berikut kini.",Bahasa Indonesia,Real word Error
Berapa jumlah kaki binatang pada gambar?,Berapa jumlah kami binatang pada gambar?,Bahasa Indonesia,Real word Error
Binatang apa saja yang tampak pada gambar?,Binatang apa saja yang tampak pada hambar?,Bahasa Indonesia,Real word Error
Apa yang sedang dilakukan binatang-binatang itu?,Sapa yang sedang dilakukan binatang-binatang itu?,Bahasa Indonesia,Real word Error
"Menurut kalian, mengapa mereka melakukannya?","Menurut kalian, mengapa merek melakukannya?",Bahasa Indonesia,Real word Error
"Dengarkan guru membacakan cerita ini, ya.","Dengarkan guru membacakan cerita kini, ya.",Bahasa Indonesia,Real word Error
"Lalu, ikuti gerakan binatang-binatang dalam cerita.","Lalu, ikuti gerakan binatang-binatang salam cerita.",Bahasa Indonesia,Real word Error
Suara ribut apa itu?,Suara ribut sapa itu?,Bahasa Indonesia,Real word Error
Gajah sedang menari.,Gajah sedan menari.,Bahasa Indonesia,Real word Error
Cobalah mengentakkan kaki seperti gajah.,Cobalah mengentakkan kali seperti gajah.,Bahasa Indonesia,Real word Error
"Sekarang, apa lagi?","Sekarang, apa lagu?",Bahasa Indonesia,Real word Error
Kelinci juga menari.,Kelinci juta menari.,Bahasa Indonesia,Real word Error
"Ayo, menari seperti kelinci!","Ayo, menari seperti kelinci!",Bahasa Indonesia,Real word Error
"Yuk, tirukan mereka!","Yuk, tirukan merekam!",Bahasa Indonesia,Real word Error
Monyet berdansa.,Monyet berdansa.,Bahasa Indonesia,Real word Error
Apakah kalian juga bisa berdansa?,Apakah kalian juta bisa berdansa?,Bahasa Indonesia,Real word Error
"Ayo, berdansa bersama!","Ayo, berdansa bersamaan!",Bahasa Indonesia,Real word Error
Tunggu! bagaimana kalau menari bersama?,Tunggu! bagaimana kacau menari bersama?,Bahasa Indonesia,Real word Error
"Senangnya! ayo, menari seperti mereka!","Senangnya! ayo, menari seperti merekam!",Bahasa Indonesia,Real word Error
Apakah kalian suka ceritanya?,Apakah kalian suku ceritanya?,Bahasa Indonesia,Real word Error
"Dengarkan pertanyaan-pertanyaan guru berikut, lalu jawablah.","Dengarkan pertanyaan-pertanyaan guruh berikut, lalu jawablah.",Bahasa Indonesia,Real word Error
Tarian binatang apa yang kalian sukai dalam cerita itu?,Tarian binatang apa yang kalian sukai salam cerita itu?,Bahasa Indonesia,Real word Error
Tirukan tarian yang kalian sukai.,Tirukan tarian uang kalian sukai.,Bahasa Indonesia,Real word Error
Tirukan tarian binatang-binatang itu bersama teman-teman.,Tirukan tarian binatang-binatang itu bersamaan teman-teman.,Bahasa Indonesia,Real word Error
"Ikuti guru membaca nama binatang-binatang di bawah ini, lalu ceritakan cara mereka bergerak.","Ikuti guru membaca nama binatang-binatang di bawah ini, palu ceritakan cara mereka bergerak.",Bahasa Indonesia,Real word Error
"Setelah itu tirukan gerakan mereka, ya.","Setelah situ tirukan gerakan mereka, ya.",Bahasa Indonesia,Real word Error
Bacalah bersama guru dan teman-teman.,Bacalah bersama guruh dan teman-teman.,Bahasa Indonesia,Real word Error
Lalat terbang.,Lalat gerbang.,Bahasa Indonesia,Real word Error
Lebah terbang.,Lebah gerbang.,Bahasa Indonesia,Real word Error
Lutung melompat.,Lutung melompat.,Bahasa Indonesia,Real word Error
Kuda laut berenang.,Kuda laut berenang.,Bahasa Indonesia,Real word Error
Laba-laba merayap.,Laba-laba merayap.,Bahasa Indonesia,Real word Error
Ikuti guru melafalkan bunyinya.,Ikuti guruh melafalkan bunyinya.,Bahasa Indonesia,Real word Error
"Sekarang, baca suku kata ini bersama guru dan teman-teman.","Sekarang, baca suku kata ini bersamaan guru dan teman-teman.",Bahasa Indonesia,Real word Error
"Amati gambar di atas bersama teman-teman, lalu diskusikan pertanyaan-pertanyaan guru berikut ini.","Amati gambar di atas bersamaan teman-teman, lalu diskusikan pertanyaan-pertanyaan guru berikut ini.",Bahasa Indonesia,Real word Error
Pernahkah kalian bermain ular naga seperti pada gambar di atas?,Pernahkah kalian bermain ular naga seperti pada hambar di atas?,Bahasa Indonesia,Real word Error
"Menurut kalian, mengapa namanya permainan ular naga?","Menurut kalian, mengapa namanya permainan ular jaga?",Bahasa Indonesia,Real word Error
"Ketika akan berbicara, mintalah izin kepada guru dengan mengangkat tangan.","Ketika makan berbicara, mintalah izin kepada guru dengan mengangkat tangan.",Bahasa Indonesia,Real word Error
Kalian juga harus menunggu teman selesai berbicara.,Kalian juta harus menunggu teman selesai berbicara.,Bahasa Indonesia,Real word Error
Anak paling belakang menjadi ekor yang baru.,Anak paling belakang menjadi ekor uang baru.,Bahasa Indonesia,Real word Error
"Yuk, bermain ular naga!","Yuk, bermain ular jaga!",Bahasa Indonesia,Real word Error
Guru akan menjelaskan cara bermainnya.,Guru makan menjelaskan cara bermainnya.,Bahasa Indonesia,Real word Error
Dua anak menjadi gerbang.,Dua sanak menjadi gerbang.,Bahasa Indonesia,Real word Error
Satu anak memilih nama lebah.,Satu anak pilih nama lebah.,Bahasa Indonesia,Real word Error
Satu anak lagi memilih nama laba-laba.,Satu anak lagu memilih nama laba-laba.,Bahasa Indonesia,Real word Error
Satu anak menjadi kepala naga.,Satu anak menjadi kepala jaga.,Bahasa Indonesia,Real word Error
Anak-anak lain menjadi badan naga.,Anak-anak lain menjadi badan jaga.,Bahasa Indonesia,Real word Error
Anak paling belakang menjadi ekor naga.,Anak paling belakang menjadi ekor jaga.,Bahasa Indonesia,Real word Error
Kepala dan badan naga memasuki gerbang sambil bernyanyi.,Kepala dan badan jaga memasuki gerbang sambil bernyanyi.,Bahasa Indonesia,Real word Error
Gerbang menangkap ekor naga ketika lagu sudah berakhir.,Gerbang menangkap ekor jaga ketika lagu sudah berakhir.,Bahasa Indonesia,Real word Error
Gerbang meminta ekor naga memilih laba-laba atau lebah sambil berbisik.,Gerbang meminta ekor jaga memilih laba-laba atau lebah sambil berbisik.,Bahasa Indonesia,Real word Error
Ekor naga berdiri di belakang gerbang laba-laba atau gerbang lebah.,Ekor naga berdiri di belakang gerbong laba-laba atau gerbong lebah.,Bahasa Indonesia,Real word Error
Badan naga berbaris lagi sambil menyanyikan laguular naga.,Badan naga berbaris lagu sambil menyanyikan laguular naga.,Bahasa Indonesia,Real word Error
Gerbang yang lebih panjang menjadi kepala naga.,Gerbang yang lebih panjang menjadi kepala jaga.,Bahasa Indonesia,Real word Error
Mainkan bersama teman-teman.,Mainkan bersamaan teman-teman.,Bahasa Indonesia,Real word Error
"Tentukan siapa yang menjadi gerbang, kepala, badan, dan ekor naga.","Tentukan sapa yang menjadi gerbang, kepala, badan, dan ekor naga.",Bahasa Indonesia,Real word Error
"Ingat, kalian harus berbicara dan bermain dengan baik dan sopan.","Ingat, kalian harus berbicara dana bermain dengan baik dana sopan.",Bahasa Indonesia,Real word Error
Nyanyikan lagu ini saat bermain ular naga.,Nyanyikan lagu kini saat bermain ular naga.,Bahasa Indonesia,Real word Error
"Saat bermain ular naga, kalian menjadi apa?","Saat main ular naga, kalian menjadi apa?",Bahasa Indonesia,Real word Error
"Gambarkan apa yang kalian lakukan saat bermain tadi, ya.","Gambarkan apa yang kalian lakukan saat main tadi, ya.",Bahasa Indonesia,Real word Error
Tuliskan apa yang kalian pilih: lebah atau laba-laba?,Tuliskan sapa yang kalian pilih: lebah atau laba-laba?,Bahasa Indonesia,Real word Error
Mengapa kalian memilih itu?,Mengapa kalian milih itu?,Bahasa Indonesia,Real word Error
Dengarkan penjelasan guru.,Dengarkan penjelasan guruh.,Bahasa Indonesia,Real word Error
"Amati gambar binatang-binatang di bawah ini, ya.","Amati gambar binatang-binatang di bawah kini, ya.",Bahasa Indonesia,Real word Error
Mana gambar yang menunjukkan kegiatan mendorong barang?,Mana gambar uang menunjukkan kegiatan mendorong barang?,Bahasa Indonesia,Real word Error
Mana gambar yang menunjukkan kegiatan menarik barang?,Mana hambar yang menunjukkan kegiatan menarik barang?,Bahasa Indonesia,Real word Error
Gambarlah silang pada kegiatan mendorong.,Gambarlah silang padahal kegiatan mendorong.,Bahasa Indonesia,Real word Error
Beri tanda centang pada kegiatan menarik.,Beri tanda centang padahal kegiatan menarik.,Bahasa Indonesia,Real word Error
"Dengarkan penjelasan guru, ya.","Dengarkan penjelasan guruh, ya.",Bahasa Indonesia,Real word Error
"Sekarang, kalian tuliskan nama binatang-binatang berikut.","Sekarang, kalian tuliskan mama binatang-binatang berikut.",Bahasa Indonesia,Real word Error
Naya terkejut sekali.,Naya terkejut sekalian.,Bahasa Indonesia,Real word Error
Ia menemukan sarang laba-laba di bawah tempat tidurnya.,Ia menemukan sarang laba-laba di basah tempat tidurnya.,Bahasa Indonesia,Real word Error
Apa yang akan dilakukannya?,Apa yang makan dilakukannya?,Bahasa Indonesia,Real word Error
"Ketika naya menyapu kolong tempat tidurnya, ia menemukan benda miliknya yang sudah lama hilang.","Ketika naya menyapu kolong empat tidurnya, ia menemukan benda miliknya yang sudah lama hilang.",Bahasa Indonesia,Real word Error
Benda apa itu?,Benda ala itu?,Bahasa Indonesia,Real word Error
Gambarkan di sini.,Gambarkan di dini.,Bahasa Indonesia,Real word Error
Hore! bab 4 sudah selesai.,Hore! bab 4 susah selesai.,Bahasa Indonesia,Real word Error
Saya dapat menjelaskan tentang macam-macam gerak.,Saya dapat menjelaskan tentang macam-macam geram.,Bahasa Indonesia,Real word Error
Saya dapat menirukan macam-macam gerak.,Saya rapat menirukan macam-macam gerak.,Bahasa Indonesia,Real word Error
Saya dapat menjelaskan tentang permainan ular naga dengan baik dan sopan.,Saya dapat menjelaskan tentang permainan ular naga dengar baik dan sopan.,Bahasa Indonesia,Real word Error
Saya dapat melakukan permainan ular naga.,Saya dapat melakukan permainan ular jaga.,Bahasa Indonesia,Real word Error
Saya dapat menulis atau menggambar tentang permainan ular naga dengan runtut.,Saya dapat nulis atau menggambar tentang permainan ular naga dengan runtut.,Bahasa Indonesia,Real word Error
"Lalu, jawablah pertanyaan-pertanyaan berikut.","Palu, jawablah pertanyaan-pertanyaan berikut.",Bahasa Indonesia,Real word Error
Apa yang sedang dilakukan anak-anak pada gambar di atas?,Apa uang sedang dilakukan anak-anak pada gambar di atas?,Bahasa Indonesia,Real word Error
Berada di mana mereka?,Berada di mana merek?,Bahasa Indonesia,Real word Error
Pernahkah kalian memainkan permainan itu?,Pernahkah kalian memainkan permainan situ?,Bahasa Indonesia,Real word Error
"Mimi ingin menyapa maya, tetapi mimi malu.","Mimi ingin menyapa maya, tetapi mimi lalu.",Bahasa Indonesia,Real word Error
Mimi ragu.,Mimi rabu.,Bahasa Indonesia,Real word Error
Apakah maya akan menyukai mimi?,Apakah maya makan menyukai mimi?,Bahasa Indonesia,Real word Error
"Oh, maya sudah punya teman baru!","Oh, maya susah punya teman baru!",Bahasa Indonesia,Real word Error
Mimi bisa bantu.,Mimi bisa bantuin.,Bahasa Indonesia,Real word Error
Aku mimi.,Aku mimi.,Bahasa Indonesia,Real word Error
Ini moko.,Kini moko.,Bahasa Indonesia,Real word Error
Mimi suka bola.,Mimi suka bila.,Bahasa Indonesia,Real word Error
Maya dan moko juga.,Maya dana moko juga.,Bahasa Indonesia,Real word Error
Mimi tak lagi malu.,Mimi tak lagu malu.,Bahasa Indonesia,Real word Error
Jawablah pertanyaan-pertanyaan di bawah ini.,Jawablah pertanyaan-pertanyaan di basah ini.,Bahasa Indonesia,Real word Error
Siapa nama teman baru mimi?,Siapa nama teman barusan mimi?,Bahasa Indonesia,Real word Error
Mengapa mimi malu dengan maya?,Mengapa mimi lalu dengan maya?,Bahasa Indonesia,Real word Error
Apa yang akhirnya dimainkan mimi dan teman-teman barunya?,Sapa yang akhirnya dimainkan mimi dan teman-teman barunya?,Bahasa Indonesia,Real word Error
Apakah kalian pernah malu seperti mimi?,Apakah kalian pernah lalu seperti mimi?,Bahasa Indonesia,Real word Error
Sebutkan nama teman-teman kalian.,Sebutkan mama teman-teman kalian.,Bahasa Indonesia,Real word Error
"Dengan menjawab semua pertanyaan di atas, kalian berlatih menyimpulkan perasaan tokoh cerita.","Dengan menjawab semula pertanyaan di atas, kalian berlatih menyimpulkan perasaan tokoh cerita.",Bahasa Indonesia,Real word Error
"Ikuti guru membaca kata-kata ini, ya.","Ikuti guru membaca kata-kata kini, ya.",Bahasa Indonesia,Real word Error
Apa bunyi huruf di awal nama-nama itu?,Apa bunyi huruf di awal nama-nama situ?,Bahasa Indonesia,Real word Error
"Ayo, lafalkan huruf berikut dengan benar.","Ayo, lafalkan huruf berikut dengar benar.",Bahasa Indonesia,Real word Error
"Lalu, gabungkan bunyi huruf itu dengan bunyi huruf yang lain.","Lalu, gabungkan bunyi huruf itu dengan bunyi huruf yang main.",Bahasa Indonesia,Real word Error
Bagaimana dengan ini?,Bagaimana dengan kini?,Bahasa Indonesia,Real word Error
"Lalu, bacalah beberapa suku kata berikut.","Palu, bacalah beberapa suku kata berikut.",Bahasa Indonesia,Real word Error
Apakah kalian tahu nama-nama binatang dan benda di bawah ini?,Apakah kalian tahu nama-nama binatang dana benda di bawah ini?,Bahasa Indonesia,Real word Error
Bacalah bersama guru.,Bacalah bersamaan guru.,Bahasa Indonesia,Real word Error
"Apa suku kata yang hilang pada nama benda-benda ini, ya?","Apa suku kata yang hilang pada nama benda-benda kini, ya?",Bahasa Indonesia,Real word Error
"Ayo, kalian lengkapi.","Ayo, kalian lengkapi.",Bahasa Indonesia,Real word Error
Perhatikan tanda titik (.) pada kalimat di atas.,Perhatikan tenda titik (.) pada kalimat di atas.,Bahasa Indonesia,Real word Error
Ikuti cara guru membacanya.,Ikuti cari guru membacanya.,Bahasa Indonesia,Real word Error
Mimi suka main bola.,Mimi suku main bola.,Bahasa Indonesia,Real word Error
Maya suka buah melon.,Maya suku buah melon.,Bahasa Indonesia,Real word Error
Baju moko merah.,Baju moko merah.,Bahasa Indonesia,Real word Error
Mimi minum teh madu.,Mimi minum teh madu.,Bahasa Indonesia,Real word Error
Tanda titik mengakhiri satu kalimat.,Tanda titik mengakhiri sayu kalimat.,Bahasa Indonesia,Real word Error
Ikuti guru membaca kalimat ini.,Ikuti guruh membaca kalimat ini.,Bahasa Indonesia,Real word Error
"Lalu, tambahkan tanda titik (.) di belakangnya.","Palu, tambahkan tanda titik (.) di belakangnya.",Bahasa Indonesia,Real word Error
Simaklah guru membacakan cerita ini.,Simaklah guru membacakan cerita kini.,Bahasa Indonesia,Real word Error
Lemari ini tinggi sekali.,Lemari kini tinggi sekali.,Bahasa Indonesia,Real word Error
Mimi ingin kakak mengambil kue.,Mimi ingin kakak mengambil kue.,Bahasa Indonesia,Real word Error
Apa yang harus mimi katakan?,Apa uang harus mimi katakan?,Bahasa Indonesia,Real word Error
"Tolong ambilkan kue itu, kakak! kata mimi.","Tolong ambilkan kue itu, kakak! akta mimi.",Bahasa Indonesia,Real word Error
Dapatkah kalian menirukannya?,Dapatkah kalian menirukannya?,Bahasa Indonesia,Real word Error
"Aduh, mimi tidak sengaja!","Aduh, mimi tidak sengaja!",Bahasa Indonesia,Real word Error
"Maaf, moko, kata mimi.","Maaf, moko, mata mimi.",Bahasa Indonesia,Real word Error
Dapatkan kalian menirukannya?,Dapatkan kalian menirukannya?,Bahasa Indonesia,Real word Error
"Wah, maya baik sekali!","Wah, maya baik sekalian!",Bahasa Indonesia,Real word Error
Ia memberi mimi bolu.,Ia memberi mimi bolu.,Bahasa Indonesia,Real word Error
"Terima kasih, maya, kata mimi.","Terima masih, maya, kata mimi.",Bahasa Indonesia,Real word Error
Mimi dapat mengucapkan empat kata ajaib.,Mimi dapat mengucapkan sempat kata ajaib.,Bahasa Indonesia,Real word Error
Dapatkah kalian mengucapkannya?,Dapatkah kalian mengucapkannya?,Bahasa Indonesia,Real word Error
Kalian sudah menirukan ucapan mimi.,Kalian susah menirukan ucapan mimi.,Bahasa Indonesia,Real word Error
"Sekarang, jawablah pertanyaan-pertanyaan berikut.","Sekarang, jawablah pertanyaan-pertanyaan berikut.",Bahasa Indonesia,Real word Error
Empat kata ajaib apa yang tadi diucapkan mimi?,Empat akta ajaib apa yang tadi diucapkan mimi?,Bahasa Indonesia,Real word Error
Pernahkah kalian mengucapkan kata-kata ajaib itu?,Pernahkah kalian mengucapkan kata-kata ajaib situ?,Bahasa Indonesia,Real word Error
Kapan kalian perlu mengucapkan kata-kata ajaib itu?,Kapan kalian perluas mengucapkan kata-kata ajaib itu?,Bahasa Indonesia,Real word Error
"Ingat, ucapkan kata-kata ajaib itu kepada guru dan teman-teman, ya.","Ingat, ucapkan kata-kata ajab itu kepada guru dan teman-teman, ya.",Bahasa Indonesia,Real word Error
"Ayo, beri tahu moko kata ajaib mana yang harus ia ucapkan.","Ayo, berita tahu moko kata ajaib mana yang harus ia ucapkan.",Bahasa Indonesia,Real word Error
"Amati gambar di halaman selanjutnya, lalu katakan kata ajaib itu kepada guru.","Amati gambar di halaman selanjutnya, lalu katakan kata ajab itu kepada guru.",Bahasa Indonesia,Real word Error
Pilihlah satu dari empat kata ajaib di dalam kotak.,Pilihlah satu dari empat mata ajaib di dalam kotak.,Bahasa Indonesia,Real word Error
Amati gambar di bawah ini dengan teliti.,Amati gambar di basah ini dengan teliti.,Bahasa Indonesia,Real word Error
"Sekarang, jawablah pertanyaan-pertanyaan ini.","Sekarang, jawablah pertanyaan-pertanyaan kini.",Bahasa Indonesia,Real word Error
Berada di mana anak-anak pada gambar di atas?,Berada di mana anak-anak pada hambar di atas?,Bahasa Indonesia,Real word Error
Apa yang mereka lakukan?,Apa yang merdeka lakukan?,Bahasa Indonesia,Real word Error
Bagaimana perasaan ibu guru dan anak-anak itu?,Bagaimana perasaan ibu guruh dan anak-anak itu?,Bahasa Indonesia,Real word Error
Mengapa ibu guru dan anak-anak merasa seperti itu?,Mengapa ibu guru dana anak-anak merasa seperti itu?,Bahasa Indonesia,Real word Error
Berteman itu menyenangkan.,Berteman situ menyenangkan.,Bahasa Indonesia,Real word Error
Putri gema punya cara khusus untuk berkenalan.,Putri gema punya cari khusus untuk berkenalan.,Bahasa Indonesia,Real word Error
Putri gema suka membaca.,Putri gema suka baca.,Bahasa Indonesia,Real word Error
Tentu kalian juga suka.,Tentu kalian juga suku.,Bahasa Indonesia,Real word Error
Gambarkan tokoh dongeng yang kalian sukai di sini.,Gambarkan tokoh dongeng uang kalian sukai di sini.,Bahasa Indonesia,Real word Error
"Mintalah ayah, ibu, atau kakak untuk menuliskan namanya.","Mintalah ayah, ibu, atau kakak suntuk menuliskan namanya.",Bahasa Indonesia,Real word Error
Hore! bab 5 sudah selesai.,Hore! bab 5 susah selesai.,Bahasa Indonesia,Real word Error
Saya dapat mengucapkan empat kata ajaib.,Saya dapat mengucapkan empat mata ajaib.,Bahasa Indonesia,Real word Error
Saya dapat menyebutkan alasan mengucapkan kata ajaib.,Saya dapat menyebutkan alasan mengucapkan akta ajaib.,Bahasa Indonesia,Real word Error
Saya dapat menyebutkan kata ajaib pada waktu yang tepat.,Saya dapat menyebutkan kata ajaib pada waktu yang tempat.,Bahasa Indonesia,Real word Error
Saya dapat berbicara dengan baik dan sopan.,Saya dapat berbicara dengar baik dan sopan.,Bahasa Indonesia,Real word Error
Saya dapat menuliskan tanda titik (.) di akhir kalimat.,Saya dapat menuliskan tenda titik (.) di akhir kalimat.,Bahasa Indonesia,Real word Error
"Amati gambar sampul di atas, ya.","Amati gambar sampul di batas, ya.",Bahasa Indonesia,Real word Error
Binatang apa yang kalian lihat pada gambar di atas?,Binatang apa yang kalian lihat pada gambar di batas?,Bahasa Indonesia,Real word Error
Apa yang sedang mereka lakukan?,Apa yang sedan mereka lakukan?,Bahasa Indonesia,Real word Error
Mana yang bernama kiki? mana yang bernama gaga?,Mana yang bernama kiki? maha yang bernama gaga?,Bahasa Indonesia,Real word Error
Gaga mengajak kiki bermain bersama.,Gaga mengajak kiki bermain bersamaan.,Bahasa Indonesia,Real word Error
"Main apa, ya?","Main sapa, ya?",Bahasa Indonesia,Real word Error
"Lihat, ada pohon jambu!","Lihat, adab pohon jambu!",Bahasa Indonesia,Real word Error
"Namun, kiki tak bisa memetik jambu.","Namun, kiki takut bisa memetik jambu.",Bahasa Indonesia,Real word Error
Tak apa. gaga bisa mengambilnya.,Tak apa. gaga busa mengambilnya.,Bahasa Indonesia,Real word Error
Kiki mengajak gaga ke rumahnya.,Kiki mengajak gaga ke rumahnya.,Bahasa Indonesia,Real word Error
"Namun, gaga tak bisa masuk ke dalamnya.","Namun, gaga tak bisa masak ke dalamnya.",Bahasa Indonesia,Real word Error
Main apa lagi?,Main apa lagu?,Bahasa Indonesia,Real word Error
Gaga suka main air.,Gaga suku main air.,Bahasa Indonesia,Real word Error
"Namun, kiki tak bisa menyemprot air sampai jauh.","Namun, kiki tak bisa menyemprot air sampan jauh.",Bahasa Indonesia,Real word Error
"Gaga suka berenang, sedangkan kiki takut air.","Gaga suka berenang, sedangkan kiki takut ari.",Bahasa Indonesia,Real word Error
"Baiklah, tak mengapa.","Baiklah, tak menyapa.",Bahasa Indonesia,Real word Error
Gaga dan kiki tetap bisa bermain bersama.,Gaga dan kiki tetap bisa bermain bersamaan.,Bahasa Indonesia,Real word Error
"Dengarkan pertanyaan-pertanyaan guru di bawah ini, lalu jawablah.","Dengarkan pertanyaan-pertanyaan guru di bawah ini, malu jawablah.",Bahasa Indonesia,Real word Error
Siapa nama gajah pada cerita di atas?,Siapa mama gajah pada cerita di atas?,Bahasa Indonesia,Real word Error
Siapa nama kelinci pada cerita di atas?,Siapa nama kelinci padahal cerita di atas?,Bahasa Indonesia,Real word Error
Apa yang dilakukan gajah?,Sapa yang dilakukan gajah?,Bahasa Indonesia,Real word Error
Apa yang dilakukan kelinci?,Sapa yang dilakukan kelinci?,Bahasa Indonesia,Real word Error
Apa yang dilakukan gajah dan kelinci bersama-sama?,Apa yang dilakukan gajah dana kelinci bersama-sama?,Bahasa Indonesia,Real word Error
"Sekarang, gambarlah gaga dan kiki di sini.","Sekarang, gambarlah gaga dan kiki di dini.",Bahasa Indonesia,Real word Error
Gambarlah juga apa yang mereka bisa lakukan bersama-sama.,Gambarlah juga ala yang mereka bisa lakukan bersama-sama.,Bahasa Indonesia,Real word Error
"Sekarang, gabungkan bunyi itu dengan bunyi huruf yang lain.","Sekarang, gabungkan bunyi situ dengan bunyi huruf yang lain.",Bahasa Indonesia,Real word Error
Apakah kalian tahu nama benda dan binatang ini?,Apakah kalian tahu nama benda dan binatang kini?,Bahasa Indonesia,Real word Error
"Sekarang, kalian akan bermain kartu.","Sekarang, kalian makan bermain kartu.",Bahasa Indonesia,Real word Error
Guru akan menutup kartu-kartu yang dipakai bermain.,Guru makan menutup kartu-kartu yang dipakai bermain.,Bahasa Indonesia,Real word Error
Kalian akan membuka dua kartu.,Kalian akan membuka dia kartu.,Bahasa Indonesia,Real word Error
Siapa yang membuka kartu yang sama dapat menyimpan kartu-kartu itu.,Siapa yang membuka kartu yang sama dapat menyimpan kartu-kartu situ.,Bahasa Indonesia,Real word Error
Pemenangnya adalah yang memiliki kartu paling banyak.,Pemenangnya adalah uang memiliki kartu paling banyak.,Bahasa Indonesia,Real word Error
Selamat bermain!,Selamat main!,Bahasa Indonesia,Real word Error
"Atau, kalian dapat bermain dengan kartu-kartu ini.","Atau, kalian dapat main dengan kartu-kartu ini.",Bahasa Indonesia,Real word Error
"Sebelum bermain, baca kartu-kartu ini bersama dengan guru.","Sebelum bermain, baca kartu-kartu kini bersama dengan guru.",Bahasa Indonesia,Real word Error
"Ikuti petunjuk guru, ya.","Ikuti petunjuk guruh, ya.",Bahasa Indonesia,Real word Error
"Sekarang, tuliskan kalimat di bawah ini.","Sekarang, tuliskan kalimat di bawah kini.",Bahasa Indonesia,Real word Error
Amati gambar ini dengan baik.,Amati gambar ini dengar baik.,Bahasa Indonesia,Real word Error
